OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
acs_b17001e_povertysexagehawaiianpi,acs_b17001e_povertysexagehawaiianpi,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Native Hawaiian And Other Pacific Islander Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001e_povertysexagehawaiianpi
acs_b17001f_povertysexageotherrace,acs_b17001f_povertysexageotherrace,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Some Other Race Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001f_povertysexageotherrace
acs_b17001g_povertysexage2races,acs_b17001g_povertysexage2races,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Two Or More Races) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001g_povertysexage2races
acs_b17001h_povertysexagewhnothisp,acs_b17001h_povertysexagewhnothisp,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (White Alone; Not Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001h_povertysexagewhnothisp
acs_b17001i_povertysexagehispanic,acs_b17001i_povertysexagehispanic,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Sex By Age (Hispanic Or Latino) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17001i_povertysexagehispanic
acs_b17010_povertyfamily,acs_b17010_povertyfamily,census,2013-2017 ACS: Poverty Status In The Past 12 Months Of Families By Family Type By Presence Of Related Children Under 18 Years By Age Of Related Children (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17010_povertyfamily
acs_b17020a_povertyagewhite,acs_b17020a_povertyagewhite,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (White Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020a_povertyagewhite
acs_b17020b_povertyageblack,acs_b17020b_povertyageblack,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Black Or African American Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020b_povertyageblack
acs_b17020c_povertyageamerind,acs_b17020c_povertyageamerind,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (American Indian And Alaska Native Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020c_povertyageamerind
acs_b17020d_povertyageasian,acs_b17020d_povertyageasian,census,2013-2017 ACS: Poverty Status In The Past 12 Months By Age (Asian Alone) (Based on 2010 Census Tracts),US Census American Community Survey (2013-2017) data table for: POVERTY subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_b17020d_povertyageasian
