excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2934306,505480,150,2018-06-04,6,2018,351000,1969,0,-122.2113828,47.42498010000001
2914357,640170,35,2018-02-08,2,2018,499900,1900,0,-122.3140476,47.5932597
2925487,813750,50,2018-04-06,4,2018,880000,1988,0,-122.0648736,47.4815507
2953904,182407,9077,2018-09-18,9,2018,1200000,1998,0,-121.959324,47.56836
2960551,124310,201,2018-10-31,10,2018,901000,1964,0,-122.0820463,47.69028
2959522,785202,410,2018-10-23,10,2018,697000,1999,0,-121.8672094,47.5331044
2927632,865141,200,2018-04-24,4,2018,320000,1969,0,-122.0808726,47.3647265
2957217,237920,20,2018-10-09,10,2018,721800,1945,0,-122.2899126,47.6647472
2964129,866915,100,2018-11-27,11,2018,406000,2008,0,-122.2145129,47.352121
2939202,97600,215,2018-06-27,6,2018,937000,2009,0,-122.3612198,47.6434094
2964687,73980,350,2018-11-27,11,2018,360000,1983,0,-122.1966122,47.4048819
2952502,259753,70,2018-09-06,9,2018,1230000,1992,0,-122.1362361,47.541837
2930688,390410,75,2018-05-16,5,2018,855000,1919,0,-122.2786488,47.5339428
2961999,779660,20,2018-11-11,11,2018,423000,1958,0,-122.3436154,47.4892029
2930992,679220,250,2018-05-15,5,2018,260000,1952,0,-122.1623772,47.3527416
2926040,956220,70,2018-04-09,4,2018,1095000,1983,0,-122.1329149,47.7574102
2939467,607160,560,2018-06-26,6,2018,930000,1962,0,-122.1735814,47.5505568
2950262,607240,330,2018-08-22,8,2018,930000,1972,0,-122.1760554,47.55981999999999
2965343,322460,50,2018-11-30,11,2018,925000,1999,0,-122.0151626,47.6090023
2961737,537920,198,2018-10-30,10,2018,480000,1968,0,-122.2676241,47.4558108
2937605,741120,81,2018-06-12,6,2018,900000,1932,0,-122.3115983,47.6905301
2969072,796760,283,2018-12-18,12,2018,316875,1963,0,-122.279759,47.3521369
2944812,545600,395,2018-07-19,7,2018,1987000,1968,0,-122.209165,47.5714029
2931363,503630,255,2018-05-21,5,2018,940000,1951,0,-122.3926084,47.6540129
2944151,232880,80,2018-07-19,7,2018,605000,1958,0,-122.2658023,47.5085434
2966847,145360,141,2018-12-10,12,2018,560000,1937,0,-122.2954012,47.7252178
2928987,768220,350,2018-05-02,5,2018,360000,1965,0,-122.3007465,47.3345014
2942005,232306,9081,2018-07-11,7,2018,680000,1965,0,-121.999557,47.471763
2951343,750820,30,2018-08-24,8,2018,585000,1964,0,-122.3537078,47.7592574
2965248,712930,3985,2018-11-26,11,2018,342000,1949,0,-122.2642486,47.5175258
2936741,982870,570,2018-06-13,6,2018,1000000,1903,1996,-122.2931306,47.6186819
2928360,294451,210,2018-05-02,5,2018,450000,1996,0,-122.3720707,47.2936971
2959909,256820,500,2018-10-25,10,2018,1110000,2005,0,-122.1029666,47.7085589
